Using CUDA GPU
Using AdamW optimizer (lr=0.0003)
Step 940/2000  loss: 3.63024  lr: 0.000177132  step_ms: 58  tok/s: 34419  ETA: 1m
Step 950/2000  loss: 3.46856  lr: 0.000174689  step_ms: 60  tok/s: 34418  ETA: 1m
Step 960/2000  loss: 3.61113  lr: 0.00017224  step_ms: 58  tok/s: 34419  ETA: 1m
Step 970/2000  loss: 3.5292  lr: 0.000169784  step_ms: 58  tok/s: 34419  ETA: 1m
Step 980/2000  loss: 3.49532  lr: 0.000167323  step_ms: 58  tok/s: 34417  ETA: 1m
Step 990/2000  loss: 3.37799  lr: 0.000164857  step_ms: 58  tok/s: 34419  ETA: 1m
Step 1000/2000  loss: 3.61362  lr: 0.000162387  step_ms: 58  tok/s: 34419  ETA: 0m
Step 1010/2000  loss: 3.277  lr: 0.000159914  step_ms: 58  tok/s: 34420  ETA: 0m
Step 1020/2000  loss: 3.53169  lr: 0.000157438  step_ms: 60  tok/s: 34421  ETA: 0m
Step 1030/2000  loss: 3.5778  lr: 0.00015496  step_ms: 58  tok/s: 34424  ETA: 0m
Step 1040/2000  loss: 3.65442  lr: 0.00015248  step_ms: 58  tok/s: 34425  ETA: 0m
Step 1050/2000  loss: 3.69139  lr: 0.00015  step_ms: 60  tok/s: 34425  ETA: 0m
Step 1060/2000  loss: 3.38971  lr: 0.00014752  step_ms: 58  tok/s: 34425  ETA: 0m
Step 1070/2000  loss: 3.35655  lr: 0.00014504  step_ms: 58  tok/s: 34425  ETA: 0m
Step 1080/2000  loss: 3.60246  lr: 0.000142562  step_ms: 58  tok/s: 34425  ETA: 0m
Step 1090/2000  loss: 3.52731  lr: 0.000140086  step_ms: 58  tok/s: 34426  ETA: 0m
Step 1100/2000  loss: 3.32354  lr: 0.000137613  step_ms: 58  tok/s: 34426  ETA: 0m
Step 1110/2000  loss: 3.51304  lr: 0.000135143  step_ms: 60  tok/s: 34428  ETA: 0m
Step 1120/2000  loss: 3.71242  lr: 0.000132677  step_ms: 58  tok/s: 34430  ETA: 0m
Step 1130/2000  loss: 3.55188  lr: 0.000130216  step_ms: 58  tok/s: 34430  ETA: 0m
Step 1140/2000  loss: 3.51205  lr: 0.00012776  step_ms: 58  tok/s: 34429  ETA: 0m
Step 1150/2000  loss: 3.24233  lr: 0.000125311  step_ms: 59  tok/s: 34431  ETA: 0m
Step 1160/2000  loss: 3.40863  lr: 0.000122868  step_ms: 58  tok/s: 34430  ETA: 0m
Step 1170/2000  loss: 3.0616  lr: 0.000120432  step_ms: 58  tok/s: 34431  ETA: 0m
Step 1180/2000  loss: 3.49145  lr: 0.000118005  step_ms: 58  tok/s: 34432  ETA: 0m
Step 1190/2000  loss: 3.42007  lr: 0.000115586  step_ms: 58  tok/s: 34432  ETA: 0m
Step 1200/2000  loss: 3.39256  lr: 0.000113177  step_ms: 59  tok/s: 34433  ETA: 0m
Step 1210/2000  loss: 3.4527  lr: 0.000110778  step_ms: 60  tok/s: 34434  ETA: 0m
Step 1220/2000  loss: 3.54386  lr: 0.00010839  step_ms: 61  tok/s: 34434  ETA: 0m
Step 1230/2000  loss: 3.24712  lr: 0.000106012  step_ms: 58  tok/s: 34436  ETA: 0m
Step 1240/2000  loss: 3.26108  lr: 0.000103647  step_ms: 58  tok/s: 34436  ETA: 0m
Step 1250/2000  loss: 3.3871  lr: 0.000101295  step_ms: 58  tok/s: 34437  ETA: 0m
Step 1260/2000  loss: 3.34665  lr: 9.8956e-05  step_ms: 59  tok/s: 34437  ETA: 0m
